SK_ID_CURR,TARGET
100001,0
100005,1
100013,0
100028,0
100038,1
100042,0
100057,0
100065,1
100066,0
100067,0
100074,0
100090,1
100091,1
100092,1
100106,1
100107,1
100109,0
100117,0
100128,0
100141,0
100150,0
100168,0
100169,0
100170,0
100171,0
100172,1
100184,1
100187,0
100212,0
100222,1
100223,0
100232,0
100241,1
100245,0
100253,0
100256,1
100271,0
100278,1
100280,0
100306,1
100311,1
100312,0
100330,0
100331,0
100352,0
100358,1
100367,0
100382,1
100384,0
100385,1
100386,0
100399,0
100404,1
100416,0
100422,1
100426,0
100438,0
100444,1
100445,1
100446,1
100447,0
100450,0
100466,0
100483,0
100484,0
100494,1
100510,1
100512,0
100517,0
100548,0
100551,0
100552,1
100553,0
100561,1
100568,1
100569,0
100591,0
100592,0
100602,0
100607,0
100613,0
100617,0
100618,0
100622,1
100625,0
100677,1
100699,0
100702,1
100711,1
100729,1
100740,1
100744,1
100745,1
100747,1
100751,1
100752,0
100753,1
100754,1
100760,0
100762,0
100763,0
100765,0
100770,1
100772,0
100777,0
100791,0
100792,0
100797,0
100823,0
100826,0
100830,0
100836,1
100872,0
100910,0
100913,1
100918,0
100931,0
100952,0
100953,0
100965,1
100970,0
100982,1
100983,1
100984,1
100987,0
100997,0
100998,1
101002,1
101005,1
101008,1
101020,0
101021,0
101024,0
101025,1
101026,0
101031,0
101041,0
101051,0
101055,1
101056,1
101057,1
101064,0
101079,1
101087,0
101090,0
101092,1
101097,1
101099,0
101107,1
101118,0
101125,1
101126,0
101128,0
101136,1
101140,0
101149,1
101160,0
101169,1
101181,0
101186,0
101190,1
101193,1
101194,0
101198,1
101200,0
101204,0
101211,0
101213,0
101223,0
101225,0
101237,1
101243,1
101244,1
101258,0
101259,1
101268,1
101269,0
101271,1
101279,0
101281,0
101287,0
101292,0
101294,0
101296,0
101297,0
101299,0
101301,0
101305,0
101308,0
101318,0
101327,1
101329,0
101332,0
101337,1
101343,0
101345,0
101346,0
101353,0
101354,1
101355,1
101356,0
101362,1
101363,1
101365,0
101366,1
101367,1
101368,0
101374,1
101380,0
101383,0
101398,0
101399,1
101401,1
101412,1
101426,0
101427,1
101428,1
101429,1
101434,0
101440,0
101448,0
101449,0
101465,1
101467,0
101472,1
101478,1
101497,0
101504,1
101547,0
101548,0
101555,1
101570,0
101572,0
101578,0
101580,1
101588,1
101602,0
101610,1
101614,0
101616,0
101643,1
101644,0
101649,1
101650,0
101665,0
101667,1
101669,0
101674,1
101675,0
101678,1
101682,1
101686,0
101697,1
101700,1
101711,0
101714,0
101715,1
101728,0
101732,0
101757,1
101758,1
101759,0
101762,0
101764,0
101780,1
101784,0
101789,0
101816,0
101819,0
101827,0
101863,1
101867,0
101870,0
101873,1
101878,1
101879,0
101880,0
101887,1
101897,0
101901,1
101903,1
101920,0
101921,0
101922,0
101961,1
101962,0
101971,0
101976,1
102002,0
102005,0
102007,1
102017,0
102019,1
102029,0
102051,1
102052,0
102054,0
102062,1
102067,1
102068,0
102070,0
102090,1
102092,1
102099,1
102100,0
102112,0
102113,0
102122,1
102123,0
102125,0
102126,1
102146,0
102147,1
102151,0
102158,1
102159,0
102162,0
102165,1
102166,0
102174,0
102193,1
102198,0
102205,1
102206,0
102218,0
102221,0
102230,0
102238,1
102248,0
102252,1
102259,0
102262,1
102273,0
102286,1
102293,0
102294,0
102296,0
102298,1
102303,0
102309,0
102315,0
102340,0
102342,1
102344,0
102346,1
102347,0
102374,0
102380,0
102387,0
102393,0
102403,0
102413,1
102414,0
102415,0
102416,0
102439,0
102441,0
102443,0
102444,0
102445,1
102448,0
102449,1
102450,1
102456,0
102458,1
102459,0
102465,0
102470,1
102471,0
102475,1
102476,1
102506,1
102509,0
102519,0
102522,0
102545,0
102549,0
102562,0
102563,0
102568,1
102582,0
102592,0
102597,1
102605,0
102614,0
102617,0
102634,1
102652,0
102655,0
102671,0
102694,1
102701,0
102703,0
102704,0
102713,0
102720,1
102731,0
102733,0
102749,0
102755,0
102763,0
102770,1
102772,1
102799,1
102838,0
102854,0
102862,1
102863,0
102867,0
102868,0
102878,0
102887,1
102898,1
102904,1
102912,1
102919,0
102927,1
102932,0
102933,1
102935,0
102958,1
102969,1
102971,0
102975,0
102979,0
102982,0
102987,1
102989,0
102995,0
102996,0
103000,0
103001,0
103004,1
103010,0
103025,1
103029,1
103046,0
103056,0
103062,1
103078,0
103083,0
103092,1
103096,0
103097,1
103102,1
103112,1
103132,0
103144,1
103145,0
103146,0
103147,1
103158,0
103171,1
103173,0
103184,0
103195,1
103196,0
103206,0
103230,1
103231,1
103232,0
103239,1
103240,1
103243,0
103252,1
103258,0
103259,1
103279,0
103280,0
103286,0
103287,1
103290,0
103298,0
103315,0
103319,0
103334,1
103336,0
103345,0
103368,0
103371,1
103377,0
103398,0
103404,0
103408,1
103410,0
103418,0
103420,1
103432,1
103433,0
103436,0
103440,0
103453,0
103459,1
103460,0
103461,0
103462,1
103473,1
103474,0
103475,1
103478,1
103480,1
103484,0
103494,0
103513,0
103515,0
103516,1
103525,0
103541,1
103544,0
103562,1
103570,1
103572,1
103574,0
103575,0
103591,1
103594,0
103609,0
103613,0
103614,0
103615,0
103624,0
103625,1
103628,1
103629,0
103647,0
103648,1
103651,1
103658,0
103668,0
103669,0
103676,0
103682,0
103683,0
103689,0
103725,0
103733,1
103744,0
103762,0
103771,1
103773,0
103783,1
103784,0
103808,0
103812,0
103813,1
103814,0
103818,1
103824,0
103828,0
103830,1
103840,0
103842,1
103847,1
103848,1
103851,0
103854,1
103857,1
103861,0
103862,0
103865,1
103870,0
103876,0
103891,1
103908,0
103914,1
103918,1
103940,0
103963,1
103966,0
103971,0
103980,0
103984,1
103985,0
103998,1
104019,0
104026,0
104035,1
104044,0
104045,0
104047,0
104051,0
104058,0
104063,0
104066,0
104087,0
104089,0
104095,0
104098,1
104104,0
104110,1
104120,0
104122,0
104131,0
104132,0
104135,0
104136,0
104149,1
104150,0
104156,1
104165,1
104175,0
104179,1
104184,1
104206,0
104216,1
104230,1
104257,0
104272,0
104273,0
104278,0
104294,1
104295,0
104297,0
104298,0
104308,0
104318,0
104319,1
104320,1
104327,1
104334,0
104344,0
104350,0
104351,1
104354,1
104369,1
104376,0
104381,0
104384,0
104391,0
104394,0
104398,1
104402,0
104408,0
104409,0
104410,1
104412,1
104417,1
104424,1
104426,0
104435,0
104445,0
104458,0
104460,0
104466,0
104472,1
104473,1
104479,0
104480,0
104482,1
104499,0
104501,0
104502,0
104506,1
104510,0
104512,1
104520,1
104528,1
104529,0
104541,0
104578,0
104584,0
104588,1
104602,1
104610,0
104611,1
104618,1
104620,0
104622,0
104624,0
104625,1
104634,1
104639,1
104646,0
104647,0
104652,0
104670,1
104677,0
104685,1
104691,0
104696,0
104699,0
104712,1
104714,0
104717,0
104718,0
104740,0
104741,0
104743,0
104744,1
104747,1
104767,0
104772,1
104776,1
104779,0
104814,0
104815,0
104830,1
104831,1
104833,1
104839,0
104840,0
104860,1
104861,0
104866,0
104870,0
104877,1
104878,0
104879,0
104880,1
104899,0
104906,0
104907,1
104913,0
104916,1
104921,0
104930,0
104931,1
104936,0
104937,1
104942,0
104943,0
104969,1
104972,1
104988,1
105013,0
105015,0
105019,0
105027,1
105030,0
105035,1
105041,0
105051,1
105056,0
105067,1
105071,1
105072,0
105074,1
105091,0
105101,0
105103,0
105134,0
105139,0
105142,1
105146,0
105163,0
105168,1
105172,0
105176,1
105195,0
105196,1
105197,0
105203,0
105223,1
105227,1
105228,0
105230,1
105231,1
105239,0
105242,0
105244,0
105245,0
105248,0
105249,0
105266,1
105271,1
105276,1
105282,0
105292,0
105297,0
105332,1
105333,0
105343,0
105344,0
105345,1
105357,0
105359,0
105366,0
105367,0
105370,0
105377,0
105390,0
105399,0
105403,0
105404,0
105414,0
105417,0
105425,1
105452,1
105454,0
105456,0
105470,0
105471,0
105483,0
105493,1
105508,1
105514,0
105515,0
105528,1
105529,0
105531,0
105532,0
105558,0
105574,0
105578,0
105584,1
105595,1
105617,1
105618,0
105621,0
105625,0
105629,1
105630,0
105634,0
105635,0
105641,1
105647,0
105648,0
105655,0
105657,0
105672,0
105678,1
105682,0
105691,0
105692,0
105706,1
105712,0
105720,0
105734,0
105735,0
105736,0
105737,0
105738,1
105740,1
105744,0
105747,0
105749,1
105754,0
105758,0
105760,1
105767,1
105784,1
105791,0
105802,1
105807,1
105809,0
105816,1
105817,0
105824,1
